ProductKey,Unitprice,ProductAlternateKey,ProductSubcategoryKey,ProductName,StandardCost,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,Description,StartDate,EndDate,Status,ProductSubcategoryName,ProductCategoryKey,ProductCategoryName
32,0,FC-3982,0,Front Derailleur Cage,0,FALSE,Silver,800,600,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
33,0,FL-2301,0,Front Derailleur Linkage,0,FALSE,Silver,800,600,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
34,0,GP-0982,0,Guide Pulley,0,FALSE,NA,800,600,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
35,0,GT-0820,0,LL Grip Tape,0,FALSE,NA,800,600,0,NA,NA,0,0,NA,0,L ,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
36,0,GT-1209,0,ML Grip Tape,0,FALSE,NA,800,600,0,NA,NA,0,0,NA,0,M ,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
37,0,GT-2908,0,HL Grip Tape,0,FALSE,NA,800,600,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
38,0,HJ-1213,0,Thin-Jam Hex Nut 9,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
39,0,HJ-1220,0,Thin-Jam Hex Nut 10,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
40,0,HJ-1420,0,Thin-Jam Hex Nut 1,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
41,0,HJ-1428,0,Thin-Jam Hex Nut 2,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
42,0,HJ-3410,0,Thin-Jam Hex Nut 15,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
43,0,HJ-3416,0,Thin-Jam Hex Nut 16,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
44,0,HJ-3816,0,Thin-Jam Hex Nut 5,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
45,0,HJ-3824,0,Thin-Jam Hex Nut 6,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
46,0,HJ-5161,0,Thin-Jam Hex Nut 3,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
47,0,HJ-5162,0,Thin-Jam Hex Nut 4,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
48,0,HJ-5811,0,Thin-Jam Hex Nut 13,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
49,0,HJ-5818,0,Thin-Jam Hex Nut 14,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
50,0,HJ-7161,0,Thin-Jam Hex Nut 7,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
51,0,HJ-7162,0,Thin-Jam Hex Nut 8,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
52,0,HJ-9080,0,Thin-Jam Hex Nut 12,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
53,0,HJ-9161,0,Thin-Jam Hex Nut 11,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
54,0,HN-1024,0,Hex Nut 5,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
55,0,HN-1032,0,Hex Nut 6,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
56,0,HN-1213,0,Hex Nut 16,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
57,0,HN-1220,0,Hex Nut 17,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
58,0,HN-1224,0,Hex Nut 7,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
59,0,HN-1420,0,Hex Nut 8,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
60,0,HN-1428,0,Hex Nut 9,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
61,0,HN-3410,0,Hex Nut 22,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
62,0,HN-3416,0,Hex Nut 23,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
63,0,HN-3816,0,Hex Nut 12,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
64,0,HN-3824,0,Hex Nut 13,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
65,0,HN-4402,0,Hex Nut 1,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
66,0,HN-5161,0,Hex Nut 10,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
67,0,HN-5162,0,Hex Nut 11,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
68,0,HN-5400,0,Hex Nut 2,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
69,0,HN-5811,0,Hex Nut 20,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
70,0,HN-5818,0,Hex Nut 21,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
71,0,HN-6320,0,Hex Nut 3,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
72,0,HN-7161,0,Hex Nut 14,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
73,0,HN-7162,0,Hex Nut 15,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
74,0,HN-8320,0,Hex Nut 4,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
75,0,HN-9161,0,Hex Nut 18,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
76,0,HN-9168,0,Hex Nut 19,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
77,0,HT-2981,0,Handlebar Tube,0,FALSE,NA,800,600,0,NA,NA,0,1,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
78,0,HT-8019,0,Head Tube,0,FALSE,NA,800,600,0,NA,NA,0,1,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
79,0,HU-6280,0,LL Hub,0,FALSE,NA,500,375,0,NA,NA,0,1,NA,0,L ,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
80,0,HU-8998,0,HL Hub,0,FALSE,NA,500,375,0,NA,NA,0,1,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
81,0,KW-4091,0,Keyed Washer,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
82,0,LE-1000,0,External Lock Washer 3,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
83,0,LE-1200,0,External Lock Washer 4,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
84,0,LE-1201,0,External Lock Washer 9,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
85,0,LE-1400,0,External Lock Washer 5,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
86,0,LE-3800,0,External Lock Washer 7,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
87,0,LE-5160,0,External Lock Washer 6,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
88,0,LE-6000,0,External Lock Washer 1,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
89,0,LE-7160,0,External Lock Washer 8,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
90,0,LE-8000,0,External Lock Washer 2,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
91,0,LI-1000,0,Internal Lock Washer 3,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
92,0,LI-1200,0,Internal Lock Washer 4,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
93,0,LI-1201,0,Internal Lock Washer 9,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
94,0,LI-1400,0,Internal Lock Washer 5,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
95,0,LI-3800,0,Internal Lock Washer 7,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
96,0,LI-5160,0,Internal Lock Washer 6,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
97,0,LI-5800,0,Internal Lock Washer 10,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
98,0,LI-6000,0,Internal Lock Washer 1,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
99,0,LI-7160,0,Internal Lock Washer 8,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
100,0,LI-8000,0,Internal Lock Washer 2,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
101,0,LJ-1213,0,Thin-Jam Lock Nut 9,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
102,0,LJ-1220,0,Thin-Jam Lock Nut 10,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
103,0,LJ-1420,0,Thin-Jam Lock Nut 1,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
104,0,LJ-1428,0,Thin-Jam Lock Nut 2,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
105,0,LJ-3410,0,Thin-Jam Lock Nut 15,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
106,0,LJ-3416,0,Thin-Jam Lock Nut 16,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
107,0,LJ-3816,0,Thin-Jam Lock Nut 5,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
108,0,LJ-3824,0,Thin-Jam Lock Nut 6,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
109,0,LJ-5161,0,Thin-Jam Lock Nut 3,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
110,0,LJ-5162,0,Thin-Jam Lock Nut 4,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
111,0,LJ-5811,0,Thin-Jam Lock Nut 13,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
112,0,LJ-5818,0,Thin-Jam Lock Nut 14,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
113,0,LJ-7161,0,Thin-Jam Lock Nut 7,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
114,0,LJ-7162,0,Thin-Jam Lock Nut 8,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
115,0,LJ-9080,0,Thin-Jam Lock Nut 12,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
116,0,LJ-9161,0,Thin-Jam Lock Nut 11,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
117,0,LN-1024,0,Lock Nut 5,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
118,0,LN-1032,0,Lock Nut 6,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
119,0,LN-1213,0,Lock Nut 16,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
120,0,LN-1220,0,Lock Nut 17,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
121,0,LN-1224,0,Lock Nut 7,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
122,0,LN-1420,0,Lock Nut 8,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
123,0,LN-1428,0,Lock Nut 9,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
124,0,LN-3410,0,Lock Nut 22,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
125,0,LN-3416,0,Lock Nut 23,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
126,0,LN-3816,0,Lock Nut 12,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
127,0,LN-3824,0,Lock Nut 13,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
128,0,LN-4400,0,Lock Nut 1,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
129,0,LN-5161,0,Lock Nut 10,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
130,0,LN-5162,0,Lock Nut 11,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
131,0,LN-5400,0,Lock Nut 2,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
132,0,LN-5811,0,Lock Nut 20,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
133,0,LN-5818,0,Lock Nut 21,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
134,0,LN-6320,0,Lock Nut 3,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
135,0,LN-7161,0,Lock Nut 14,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
136,0,LN-7162,0,Lock Nut 15,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
137,0,LN-8320,0,Lock Nut 4,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
138,0,LN-9080,0,Lock Nut 19,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
139,0,LN-9161,0,Lock Nut 18,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
140,0,LR-2398,0,Lock Ring,0,FALSE,Silver,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
141,0,LR-8520,0,Lower Head Race,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
142,0,LW-1000,0,Lock Washer 4,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
143,0,LW-1200,0,Lock Washer 5,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
144,0,LW-1201,0,Lock Washer 10,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
145,0,LW-1400,0,Lock Washer 6,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
146,0,LW-3400,0,Lock Washer 13,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
147,0,LW-3800,0,Lock Washer 8,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
148,0,LW-4000,0,Lock Washer 1,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
149,0,LW-5160,0,Lock Washer 7,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
